host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within a day,100,94,Pacific Heights,Entire home/apt,2,1,507,4.89,1,24
within an hour,100,100,South of Market,Entire home/apt,2,1,99,5,1,128
within a day,100,100,Western Addition,Entire home/apt,2,2,154,4.766641295546558,1,1
within an hour,100,100,Lakeshore,Private room,1,1,45,5,1,180
within an hour,97,73,Downtown/Civic Center,Entire home/apt,2,1,86,4.9,1,364
within an hour,100,100,Noe Valley,Entire home/apt,4,2,225,4.75,2,122
within an hour,90,94,Downtown/Civic Center,Private room,4,2,650,5,1,365
within a few hours,100,74,Downtown/Civic Center,Entire home/apt,2,1,154,5,1,94
within an hour,100,99,Castro/Upper Market,Entire home/apt,2,1,225,4.98,1,213
within an hour,90,94,Downtown/Civic Center,Private room,4,2,650,5,1,365
within an hour,100,100,Haight Ashbury,Entire home/apt,7,4,434,5,2,114
within an hour,100,100,Parkside,Entire home/apt,6,3,181,4.98,2,117
within an hour,100,94,Bayview,Entire home/apt,4,2,130,4.69,1,365
within a few hours,99,68,Downtown/Civic Center,Entire home/apt,4,2,124,5,2,363
within a few hours,100,69,Castro/Upper Market,Private room,2,3,125,4.766641295546558,1,1
within a few hours,100,69,Castro/Upper Market,Private room,2,1,115,4.766641295546558,1,1
within an hour,96.43234029939234,96,Downtown/Civic Center,Entire home/apt,4,2,400,4.766641295546558,1,365
within a few hours,100,69,Pacific Heights,Private room,2,1,150,4.766641295546558,1,1
within a few hours,100,69,Pacific Heights,Private room,2,1,140,4.766641295546558,1,1
within a few hours,100,69,Western Addition,Private room,2,1,130,5,1,1
within an hour,100,100,Sunset,Entire home/apt,6,3,279,4.8,1,40
within a few hours,100,100,South of Market,Entire home/apt,4,2,126,4.82,1,315
within an hour,100,89,South of Market,Entire home/apt,4,2,350,4.94,2,63
within an hour,100,98,South of Market,Entire home/apt,2,1,141,4.89,1,365
within an hour,100,88,Haight Ashbury,Entire home/apt,4,2,101,5,1,13
within an hour,100,97,Mission,Entire home/apt,6,3,349,4.86,1,231
within an hour,100,100,Mission,Entire home/apt,7,4,399,4.75,2,323
within an hour,90,99,Excelsior,Entire home/apt,8,5,513,5,4,265
within an hour,99,71,Downtown/Civic Center,Private room,4,2,149,5,1,361
within a few hours,100,74,Nob Hill,Entire home/apt,2,1,170,5,1,202
within a few hours,100,74,Nob Hill,Entire home/apt,2,1,142,5,1,100
within a few hours,100,74,South of Market,Entire home/apt,2,1,202,5,1,70
within an hour,96.43234029939234,87.44211994421188,Western Addition,Private room,2,1,110,4.766641295546558,1,365
within an hour,100,70,Downtown/Civic Center,Private room,4,2,211,4.91,1,360
within an hour,100,70,Downtown/Civic Center,Private room,4,2,212,4.83,1,360
within a few hours,100,25,Sunset,Entire home/apt,6,3,300,5,3,186
within an hour,100,6,Downtown/Civic Center,Private room,6,3,480,5,1,279
within an hour,100,98,Mission,Entire home/apt,8,4,236,5,3,65
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Private room,2,2,190,4.97,1,365
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Private room,2,1,94,4.95,1,286
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Private room,2,1,108,4.97,1,365
within an hour,96.43234029939234,87.44211994421188,Sunset,Entire home/apt,2,2,92,4.766641295546558,1,365
within an hour,100,93,Bernal Heights,Entire home/apt,2,1,147,5,1,123
within an hour,100,6,Downtown/Civic Center,Private room,6,3,480,5,1,275
within an hour,100,93,Mission,Entire home/apt,2,1,115,4.766641295546558,1,216
within an hour,100,99,Richmond,Private room,1,1,55,4,1,20
within an hour,96.43234029939234,100,Sunset,Entire home/apt,2,1,118,4.67,1,365
within an hour,100,99,Lakeshore,Entire home/apt,8,7,375,4,3,186
within an hour,100,85,Haight Ashbury,Entire home/apt,2,1,175,5,1,1
within an hour,98,81,Mission,Entire home/apt,4,2,165,5,2,28
within an hour,100,83,Russian Hill,Entire home/apt,4,2,200,5,2,44
within a few hours,100,100,Mission,Entire home/apt,3,1,125,5,1,308
within an hour,100,100,Twin Peaks,Entire home/apt,4,2,240,4.96,2,13
within an hour,100,100,North Beach,Entire home/apt,2,1,350,4.86,1,107
within an hour,100,100,Excelsior,Private room,2,1,55,4.58,1,33
within an hour,100,64,Western Addition,Entire home/apt,2,1,175,4.766641295546558,1,1
within an hour,96.43234029939234,87.44211994421188,Financial District,Private room,2,2,746,4.766641295546558,1,365
within an hour,92,100,Sunset,Entire home/apt,2,1,111,4.4,1,40
within an hour,100,100,Parkside,Private room,4,2,90,4.88,1,189
within an hour,100,96,South of Market,Private room,2,1,100,4.72,1,363
within an hour,100,98,North Beach,Entire home/apt,5,3,749,5,2,144
within an hour,100,98,North Beach,Entire home/apt,4,2,312,5,1,168
within a few hours,100,74,Mission,Entire home/apt,2,1,158,4.8,1,365
within a few hours,100,74,South of Market,Entire home/apt,2,1,215,5,1,61
within an hour,100,85,Western Addition,Private room,2,1,95,4.75,1,191
within an hour,100,100,Noe Valley,Entire home/apt,2,1,200,4.4,1,365
within an hour,100,99,Parkside,Private room,2,1,89,5,1,1
within an hour,100,89,South of Market,Private room,1,1,40,5,1,267
within a few hours,100,74,Mission,Entire home/apt,2,1,139,5,1,365
within a few hours,100,74,Mission,Entire home/apt,2,1,123,4.766641295546558,1,353
within a few hours,100,94,Sunset,Private room,2,1,149,4.92,1,186
within a few hours,100,74,South of Market,Entire home/apt,2,1,232,4.766641295546558,1,152
within a few hours,100,74,South of Market,Entire home/apt,2,1,200,4.766641295546558,1,92
within a few hours,100,74,South of Market,Entire home/apt,2,1,199,5,1,94
within an hour,100,64,Twin Peaks,Entire home/apt,4,1,199,4.766641295546558,2,2
within an hour,100,90,Bernal Heights,Entire home/apt,2,1,120,4,1,59
within an hour,100,100,Excelsior,Entire home/apt,2,1,98,4.95,1,365
within an hour,100,96,Richmond,Entire home/apt,4,2,264,5,1,280
within an hour,100,98,Pacific Heights,Entire home/apt,4,2,224,4.91,1,274
within a few hours,100,100,South of Market,Entire home/apt,2,1,115,4.766641295546558,1,38
within an hour,100,99,Excelsior,Private room,1,1,53,5,1,362
within an hour,100,100,Excelsior,Entire home/apt,2,1,86,4.82,1,195
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,2,1,290,5,1,203
within a few hours,100,94,Ocean View,Entire home/apt,3,2,105,4.84,1,317
within a few hours,100,96,Bernal Heights,Entire home/apt,2,1,174,4.97,1,263
within an hour,100,86,South of Market,Entire home/apt,4,2,148,5,1,365
within an hour,90,86,Sunset,Entire home/apt,4,1,98,4.5,1,1
within an hour,100,64,Haight Ashbury,Entire home/apt,9,4,333,4.766641295546558,2,2
within an hour,100,100,Richmond,Entire home/apt,4,2,200,4.73,2,294
within an hour,99,71,Downtown/Civic Center,Private room,4,2,149,5,1,361
within an hour,96.43234029939234,100,Mission,Entire home/apt,6,2,199,5,2,235
within an hour,100,100,Western Addition,Private room,2,1,84,4.85,1,365
within a few hours,100,80,Richmond,Entire home/apt,2,2,262,4.97,1,226
within an hour,100,100,Twin Peaks,Entire home/apt,8,4,375,5,3,284
within an hour,100,100,Sunset,Entire home/apt,2,1,95,4.91,1,198
within a few hours,100,100,Mission,Entire home/apt,4,2,130,5,1,1
within a day,67,0,Mission,Entire home/apt,3,2,120,4.766641295546558,1,309
within an hour,100,100,Western Addition,Entire home/apt,2,1,168,4.97,1,365
within a few hours,100,74,Mission,Entire home/apt,6,2,490,4.74,2,6
within an hour,100,65,Bayview,Entire home/apt,2,1,80,5,1,111
within an hour,100,80,Noe Valley,Private room,1,1,150,5,2,219
within a few hours,100,56,Sunset,Private room,2,2,102,4.63,1,365
within a few hours,100,74,South of Market,Entire home/apt,2,1,229,5,1,365
within an hour,100,85,Mission,Entire home/apt,2,1,145,4.766641295546558,1,1
within a few hours,100,74,South of Market,Entire home/apt,2,1,191,5,1,357
within a few hours,100,97,Twin Peaks,Entire home/apt,10,8,429,4.5,2,3
within an hour,100,100,Mission,Entire home/apt,2,1,135,4.86,1,365
within an hour,90,97,Haight Ashbury,Entire home/apt,4,2,225,4.93,1,303
within an hour,100,100,Excelsior,Private room,4,2,59,4.69,1,216
within an hour,100,100,Russian Hill,Entire home/apt,6,3,500,5,1,365
within an hour,96.43234029939234,87.44211994421188,North Beach,Entire home/apt,2,1,140,4.766641295546558,1,1
within an hour,100,77,Haight Ashbury,Entire home/apt,4,2,154,4.33,1,52
within an hour,100,99,Richmond,Entire home/apt,10,6,514,4.9,2,230
within an hour,100,98,Sunset,Private room,2,1,98,4.96,1,38
within an hour,99,71,Downtown/Civic Center,Entire home/apt,4,2,149,5,1,361
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,3,1,229,4.766641295546558,1,96
within an hour,100,96,Sunset,Private room,2,1,62,4,1,19
within an hour,100,96,Mission,Entire home/apt,3,1,390,4.93,1,314
within an hour,96.43234029939234,97,Parkside,Entire home/apt,4,3,169,4.93,1,208
within an hour,100,97,Mission,Private room,4,3,185,5,1,346
within an hour,100,94,Chinatown,Entire home/apt,4,1,209,4.766641295546558,1,299
within an hour,100,94,Chinatown,Entire home/apt,2,1,157,4.67,1,288
within an hour,100,100,Bayview,Private room,2,4,51,4.43,1,187
within an hour,100,100,Parkside,Entire home/apt,6,4,320,5,2,118
within an hour,100,99,Excelsior,Entire home/apt,4,3,228,4.89,2,212
within an hour,100,99,Lakeshore,Entire home/apt,5,3,150,4.63,2,217
within an hour,100,88,Mission,Private room,1,1,111,4.5,1,228
within an hour,100,98,Mission,Entire home/apt,11,7,270,5,5,192
within an hour,100,98,North Beach,Private room,8,4,814,4.766641295546558,2,47
within an hour,100,98,North Beach,Private room,2,1,724,4.766641295546558,1,49
within an hour,100,98,North Beach,Private room,2,1,724,4.766641295546558,1,49
within an hour,100,98,North Beach,Private room,2,1,905,4.86,1,49
within an hour,100,98,North Beach,Private room,2,1,905,4,1,49
within an hour,100,98,North Beach,Private room,4,2,509,3,1,47
within an hour,100,98,North Beach,Private room,4,2,509,4.89,1,47
within an hour,100,98,North Beach,Private room,4,2,509,4.766641295546558,1,47
within a few hours,100,68,Mission,Entire home/apt,1,1,65,5,1,186
within an hour,100,22,Downtown/Civic Center,Entire home/apt,4,2,167,5,1,276
within an hour,96.43234029939234,100,Nob Hill,Entire home/apt,4,1,112,4.5,1,365
within an hour,100,99,Excelsior,Entire home/apt,5,2,170,4.64,1,365
within an hour,98,81,Mission,Entire home/apt,4,3,230,5,2,72
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,1,1,65,4.766641295546558,1,96
within an hour,99,71,Downtown/Civic Center,Entire home/apt,4,2,173,4.88,1,362
within an hour,100,89,Mission,Entire home/apt,5,3,271,5,2,33
within an hour,100,100,Excelsior,Entire home/apt,8,3,280,4.87,2,365
within an hour,96.43234029939234,100,Castro/Upper Market,Entire home/apt,4,2,400,5,1,343
within an hour,100,100,Downtown/Civic Center,Entire home/apt,2,2,110,5,1,1
within an hour,100,99,Marina,Private room,1,1,64,4.33,1,82
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,2,2,225,4.766641295546558,2,3
within an hour,96.43234029939234,87.44211994421188,Western Addition,Entire home/apt,4,2,225,4.766641295546558,1,365
within an hour,100,97,Mission,Entire home/apt,6,4,380,4.766641295546558,1,325
within an hour,100,80,Mission,Entire home/apt,2,2,200,4.766641295546558,2,115
within an hour,96.43234029939234,100,North Beach,Private room,1,1,550,5,1,365
within an hour,100,100,Nob Hill,Entire home/apt,2,1,114,4,1,2
within an hour,96.43234029939234,100,Pacific Heights,Entire home/apt,4,1,313,5,1,365
within an hour,100,100,Twin Peaks,Entire home/apt,4,3,102,4.5,1,215
within an hour,100,64,Mission,Entire home/apt,6,4,250,4.766641295546558,2,1
within an hour,100,100,Sunset,Private room,2,1,80,4.94,1,219
within an hour,100,96,Richmond,Entire home/apt,10,6,757,4.95,3,332
within an hour,100,64,Mission,Entire home/apt,10,4,266,4.766641295546558,2,1
within a few hours,74,98,South of Market,Entire home/apt,2,1,166,3,1,1
within an hour,100,96,Nob Hill,Entire home/apt,4,2,335,4.93,1,297
within an hour,100,99,Parkside,Private room,2,1,114,4.88,1,365
within an hour,100,46,Downtown/Civic Center,Entire home/apt,4,2,282,5,1,5
within a day,88,100,South of Market,Private room,1,1,50,3,1,337
within a day,88,100,South of Market,Private room,1,1,75,5,1,324
within an hour,100,100,Twin Peaks,Entire home/apt,6,3,325,5,3,223
within a few hours,100,100,Excelsior,Private room,1,1,58,4.67,1,13
within an hour,100,96,Sunset,Private room,2,1,45,5,1,119
within an hour,100,96,Sunset,Private room,2,1,55,4.5,1,7
within an hour,100,82,South of Market,Entire home/apt,3,2,114,5,1,186
within an hour,100,91,Mission,Entire home/apt,3,1,280,5,1,354
within an hour,90,94,Twin Peaks,Entire home/apt,3,2,145,5,1,310
within an hour,100,100,Sunset,Entire home/apt,7,4,283,4.94,1,365
within an hour,99,71,Downtown/Civic Center,Private room,4,2,173,4.766641295546558,1,361
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,3,3,350,4.766641295546558,2,187
within an hour,100,99,Excelsior,Entire home/apt,4,3,219,4.78,2,217
within an hour,96,99,Marina,Shared room,1,1,38,4.73,1,365
within a day,100,100,Castro/Upper Market,Entire home/apt,2,1,164,4.766641295546558,1,48
within an hour,90,86,Castro/Upper Market,Entire home/apt,5,2,399,5,1,276
within a few hours,100,100,Castro/Upper Market,Private room,2,1,135,4.93,1,299
within a few hours,100,100,Noe Valley,Entire home/apt,10,5,285,5,2,347
within an hour,100,64,Mission,Entire home/apt,15,9,589,4.766641295546558,4,1
within an hour,100,46,Downtown/Civic Center,Entire home/apt,4,2,282,4.766641295546558,1,7
within an hour,100,46,Downtown/Civic Center,Entire home/apt,4,2,240,5,1,9
within an hour,96.43234029939234,100,Haight Ashbury,Entire home/apt,10,6,424,4.766641295546558,1,186
within an hour,100,99,South of Market,Private room,1,1,118,4.88,1,258
within an hour,100,46,Downtown/Civic Center,Entire home/apt,4,2,282,4.766641295546558,1,7
within an hour,100,64,Nob Hill,Entire home/apt,6,3,299,4.766641295546558,2,1
within a day,70,68,Potrero Hill,Entire home/apt,4,2,150,5,1,188
within an hour,100,88,Mission,Entire home/apt,3,1,140,4.88,1,242
within an hour,100,100,South of Market,Entire home/apt,3,2,469,5,2,365
within an hour,100,78,Haight Ashbury,Entire home/apt,10,4,495,4.766641295546558,2,2
within an hour,100,100,Lakeshore,Entire home/apt,5,3,199,5,1,170
within a few hours,100,100,South of Market,Entire home/apt,5,2,155,4.766641295546558,2,290
within an hour,100,100,Parkside,Entire home/apt,2,2,135,4.91,1,365
within an hour,100,91,Marina,Entire home/apt,6,3,235,4.766641295546558,2,365
within an hour,100,36,Ocean View,Entire home/apt,4,4,142,5,1,29
within an hour,100,99,Marina,Private room,1,1,53,5,1,1
within an hour,100,88,Mission,Entire home/apt,5,3,172,5,2,219
within an hour,100,94,Castro/Upper Market,Entire home/apt,4,1,275,4.73,2,351
within an hour,100,97,Ocean View,Entire home/apt,6,3,118,5,1,88
within an hour,100,100,Twin Peaks,Entire home/apt,4,3,160,5,1,337
within an hour,100,86,Sunset,Entire home/apt,4,1,100,5,1,48
within an hour,100,46,Downtown/Civic Center,Entire home/apt,4,2,272,5,1,7
within an hour,100,100,Sunset,Entire home/apt,4,2,239,5,1,113
within an hour,100,100,Twin Peaks,Entire home/apt,2,1,99,4.96,1,324
within a day,67,100,Mission,Entire home/apt,4,1,250,4.766641295546558,1,63
within an hour,100,46,Downtown/Civic Center,Entire home/apt,4,2,285,5,1,5
within an hour,100,46,Downtown/Civic Center,Entire home/apt,4,2,281,4.766641295546558,1,5
within an hour,96.43234029939234,100,Downtown/Civic Center,Private room,1,1,65,4.766641295546558,1,1
within an hour,100,94,Downtown/Civic Center,Entire home/apt,4,1,209,5,1,299
within an hour,100,94,Financial District,Entire home/apt,2,1,157,4.63,1,291
within an hour,100,94,Chinatown,Entire home/apt,2,1,157,4.77,1,289
within an hour,96.43234029939234,80,Castro/Upper Market,Entire home/apt,2,2,410,5,1,186
within an hour,100,99,Twin Peaks,Entire home/apt,2,1,113,4.86,1,24
within an hour,100,99,Sunset,Entire home/apt,3,1,86,4.78,1,29
within an hour,100,46,Western Addition,Entire home/apt,4,2,274,4.766641295546558,1,2
within an hour,100,96,Financial District,Entire home/apt,2,1,200,4.766641295546558,1,1
within an hour,100,96,Financial District,Entire home/apt,2,1,216,4.766641295546558,1,1
within a day,80,31,Nob Hill,Entire home/apt,8,4,499,4.65,2,365
within an hour,92,98,Western Addition,Private room,2,1,95,4.82,3,365
within an hour,100,100,Twin Peaks,Private room,1,1,45,4.5,1,20
within an hour,100,100,Marina,Private room,4,2,189,4.4,1,1
within an hour,100,100,Western Addition,Entire home/apt,4,3,300,5,1,355
within an hour,100,98,Noe Valley,Private room,1,1,66,4.91,1,365
within an hour,100,69,Castro/Upper Market,Entire home/apt,6,4,400,4.95,3,300
within an hour,96.43234029939234,100,Sunset,Entire home/apt,5,2,340,5,1,188
within an hour,100,98,Noe Valley,Private room,2,1,76,4.89,1,365
within an hour,100,100,Parkside,Entire home/apt,4,3,183,5,1,17
within an hour,100,100,Western Addition,Entire home/apt,4,2,250,5,1,230
within an hour,100,99,Parkside,Entire home/apt,4,2,122,4.91,1,365
within an hour,96.43234029939234,87.44211994421188,Western Addition,Private room,2,1,155,4.766641295546558,1,1
within an hour,100,100,Western Addition,Entire home/apt,3,1,121,4.83,1,116
within an hour,100,98,Richmond,Entire home/apt,4,2,110,5,1,242
within an hour,100,98,Richmond,Entire home/apt,4,1,100,5,1,59
within an hour,100,99,South of Market,Entire home/apt,11,6,359,4.766641295546558,2,40
within an hour,100,100,Richmond,Private room,2,1,149,4.96,1,98
within a few hours,93,38,Downtown/Civic Center,Entire home/apt,4,1,152,5,1,315
within an hour,100,100,Richmond,Entire home/apt,6,4,379,4.86,2,154
within an hour,100,99,Noe Valley,Entire home/apt,6,3,192,4.89,1,246
within a few hours,93,38,Downtown/Civic Center,Entire home/apt,2,1,200,4.766641295546558,1,312
within an hour,100,100,Mission,Entire home/apt,5,2,275,4.33,1,30
within an hour,100,100,Mission,Entire home/apt,2,1,125,4.65,1,11
within an hour,90,94,Downtown/Civic Center,Entire home/apt,4,2,1000,4.766641295546558,1,365
within an hour,100,98,Castro/Upper Market,Entire home/apt,5,4,446,5,2,242
within an hour,96.43234029939234,100,Potrero Hill,Entire home/apt,4,3,166,5,1,339
within an hour,100,100,Sunset,Entire home/apt,6,4,273,4.88,1,61
within an hour,100,92,Castro/Upper Market,Entire home/apt,3,1,120,5,1,232
within an hour,100,100,Richmond,Entire home/apt,4,2,231,5,1,359
within an hour,100,100,Mission,Entire home/apt,8,5,837,5,2,323
within an hour,100,100,Richmond,Private room,2,1,89,4.96,1,152
within a day,50,88,Bernal Heights,Entire home/apt,4,2,127,5,1,269
within an hour,96.43234029939234,22,Downtown/Civic Center,Entire home/apt,3,2,86,5,1,365
within an hour,100,78,Haight Ashbury,Entire home/apt,16,7,595,4.766641295546558,3,86
within an hour,100,78,Haight Ashbury,Entire home/apt,16,11,895,4.766641295546558,5,3
within a few hours,100,67,Bayview,Entire home/apt,2,1,95,5,1,276
within an hour,96.43234029939234,0,Richmond,Entire home/apt,4,1,110,4.766641295546558,1,365
within an hour,100,100,Twin Peaks,Entire home/apt,1,1,155,5,1,1
within a few hours,100,71,South of Market,Entire home/apt,2,2,100,5,2,150
within an hour,100,100,Twin Peaks,Entire home/apt,6,1,575,5,1,4
within an hour,100,100,Excelsior,Entire home/apt,4,2,151,4.766641295546558,1,0
within an hour,100,100,Richmond,Private room,2,1,89,4.98,1,144
within an hour,100,100,Excelsior,Entire home/apt,8,4,475,4.83,3,225
within an hour,100,100,Excelsior,Private room,2,1,55,5,1,33
within an hour,100,89,Pacific Heights,Entire home/apt,1,1,175,5,1,13
within an hour,100,94,Castro/Upper Market,Private room,2,1,650,5,1,24
within an hour,100,33,Noe Valley,Entire home/apt,2,1,225,5,1,214
within a few hours,100,100,Twin Peaks,Entire home/apt,2,1,102,5,1,88
within an hour,100,100,Bernal Heights,Entire home/apt,2,1,158,4.91,1,268
within an hour,96.43234029939234,0,Western Addition,Entire home/apt,2,1,120,4.766641295546558,1,192
within an hour,100,87.44211994421188,Bayview,Entire home/apt,2,2,100,4.766641295546558,2,155
within a few hours,100,94,Haight Ashbury,Private room,16,1,180,4.97,1,365
within an hour,100,99,Mission,Entire home/apt,4,2,249,4.57,1,365
within an hour,100,96,Sunset,Private room,2,1,45,4,1,224
a few days or more,0,0,Marina,Entire home/apt,3,2,140,4.766641295546558,1,365
within an hour,100,100,Potrero Hill,Entire home/apt,6,3,361,4.96,3,345
within an hour,100,100,Russian Hill,Entire home/apt,4,1,700,5,1,20
within an hour,100,100,Excelsior,Entire home/apt,5,3,125,4.58,1,365
within an hour,100,100,Mission,Entire home/apt,5,2,380,4.766641295546558,2,208
within an hour,96.43234029939234,87.44211994421188,Twin Peaks,Entire home/apt,4,2,250,4.766641295546558,1,186
within an hour,92,100,Nob Hill,Entire home/apt,2,1,93,4.56,1,364
within an hour,100,100,Sunset,Entire home/apt,3,2,253,4.33,1,1
within a day,100,77,Downtown/Civic Center,Entire home/apt,3,2,489,4.69,1,365
within an hour,100,100,Mission,Entire home/apt,7,4,310,4.766641295546558,2,1
within an hour,100,88,Richmond,Entire home/apt,5,3,653,5,2,103
within a day,100,50,Potrero Hill,Entire home/apt,2,1,110,5,1,180
within an hour,91,98,Sunset,Private room,2,1,79,4.04,1,365
within an hour,100,99,Mission,Private room,2,1,75,4.95,1,292
within an hour,100,99,Mission,Private room,2,1,90,4.89,1,303
within an hour,100,100,Excelsior,Private room,2,2,69,4.8,1,186
within an hour,100,100,Noe Valley,Entire home/apt,5,4,299,4.93,1,43
within an hour,100,100,Excelsior,Private room,2,1,72,4.5,1,0
within an hour,100,100,Western Addition,Private room,2,1,44,5,2,77
within a few hours,100,46,South of Market,Private room,2,1,400,5,1,6
within a few hours,100,87.44211994421188,Potrero Hill,Entire home/apt,2,1,140,4.766641295546558,1,1
within an hour,96.43234029939234,87.44211994421188,Marina,Entire home/apt,4,2,840,4.766641295546558,5,7
within a day,90,71,Bayview,Private room,1,1,50,5,1,1
within an hour,100,100,Excelsior,Private room,2,1,58,4.7,1,365
within an hour,100,100,Presidio,Entire home/apt,3,2,88,4.94,1,365
within an hour,100,88,Richmond,Entire home/apt,3,2,150,5,1,365
within an hour,96.43234029939234,75,Castro/Upper Market,Private room,2,1,49,5,1,365
within a few hours,100,93,Bayview,Private room,2,1,95,5,1,1
within a day,88,72,Western Addition,Private room,4,2,150,5,1,365
within a few hours,90,100,Richmond,Entire home/apt,9,9,104,5,1,63
within an hour,100,100,Noe Valley,Entire home/apt,6,3,602,5,2,163
within an hour,100,100,Sunset,Entire home/apt,6,6,500,4.766641295546558,3,243
within an hour,100,100,Western Addition,Entire home/apt,6,3,366,4.75,2,25
within an hour,100,100,South of Market,Private room,4,2,379,5,1,204
within an hour,96.43234029939234,100,Mission,Entire home/apt,4,4,182,5,1,365
within an hour,100,98,Mission,Entire home/apt,8,4,204,4.766641295546558,3,251
within an hour,100,83,Richmond,Entire home/apt,4,2,415,5,1,304
within an hour,100,100,Sunset,Entire home/apt,8,3,308,4.87,2,100
within an hour,100,82,North Beach,Entire home/apt,4,2,300,4.766641295546558,1,159
within an hour,96.43234029939234,87.44211994421188,Excelsior,Private room,2,1,46,4.91,1,192
within an hour,100,98,Noe Valley,Private room,2,1,55,4.53,1,288
within an hour,96.43234029939234,83,Potrero Hill,Entire home/apt,2,1,265,5,1,0
within an hour,96.43234029939234,87.44211994421188,Potrero Hill,Entire home/apt,6,3,450,5,2,292
within a day,100,36,Sunset,Entire home/apt,6,4,350,5,3,284
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,4.766641295546558,1,365
within a few hours,100,100,South of Market,Entire home/apt,6,3,210,5,2,38
within an hour,100,100,Parkside,Private room,3,1,81,4.82,1,26
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,5,1,365
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,4.766641295546558,1,361
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,5,1,361
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,4.766641295546558,1,361
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,4.766641295546558,1,365
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,5,1,361
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,5,1,361
within an hour,90,94,Downtown/Civic Center,Private room,4,2,1000,4.766641295546558,1,365
within a few hours,100,98,Bernal Heights,Entire home/apt,4,2,185,5,1,159
within an hour,100,98,Ocean View,Entire home/apt,6,3,189,4.5,2,224
within an hour,100,93,Downtown/Civic Center,Entire home/apt,2,1,65,5,1,183
within a few hours,99,76,Downtown/Civic Center,Entire home/apt,4,2,157,5,1,361
within an hour,96.43234029939234,94,Bernal Heights,Entire home/apt,6,2,595,5,2,365
within an hour,100,85,Haight Ashbury,Entire home/apt,2,1,101,4.766641295546558,1,1
within an hour,100,100,Marina,Private room,2,1,169,4.21,1,276
within an hour,100,100,Excelsior,Private room,2,1,58,4.81,1,219
within an hour,100,85,Western Addition,Private room,2,1,80,4.67,1,321
within an hour,100,100,Mission,Entire home/apt,4,2,130,5,2,37
within an hour,100,100,Marina,Entire home/apt,2,1,165,4.6,1,336
within an hour,100,99,Western Addition,Private room,2,1,124,4.89,1,227
within a day,67,75,South of Market,Entire home/apt,3,1,100,5,1,3
within an hour,96.43234029939234,67,Mission,Entire home/apt,5,2,225,4.766641295546558,1,276
within an hour,100,97,Parkside,Entire home/apt,6,3,213,4.93,1,220
within a few hours,100,46,Downtown/Civic Center,Private room,2,1,249,4.766641295546558,1,4
within an hour,100,99,Sunset,Entire home/apt,2,2,101,4.81,1,365
within an hour,96.43234029939234,100,Mission,Entire home/apt,8,4,500,4.8,2,365
within an hour,100,98,Richmond,Entire home/apt,12,6,469,4.96,2,37
within an hour,100,99,Excelsior,Private room,4,2,80,4.93,1,365
within an hour,92,93,Bayview,Private room,2,1,85,4.9,2,6
within an hour,92,93,Bayview,Private room,2,1,100,4.86,2,6
within an hour,100,6,Western Addition,Private room,2,2,300,4.766641295546558,1,276
within an hour,75,97,Downtown/Civic Center,Entire home/apt,4,2,375,5,2,299
within an hour,100,100,Sunset,Entire home/apt,4,2,205,5,1,262
within an hour,92,93,Bayview,Private room,2,1,100,4.87,2,6
within a few hours,100,94,Pacific Heights,Private room,2,1,110,4.91,1,365
within a few hours,100,67,Mission,Entire home/apt,6,3,192,5,1,317
within a few hours,100,67,Mission,Entire home/apt,3,2,158,4.766641295546558,1,334
within an hour,100,95,Potrero Hill,Entire home/apt,2,1,130,4.766641295546558,1,112
within an hour,100,95,North Beach,Entire home/apt,5,3,444,5,2,336
within an hour,100,100,Excelsior,Private room,4,2,67,4.78,1,99
within an hour,98,65,Downtown/Civic Center,Entire home/apt,4,2,258,4.766641295546558,1,3
within an hour,98,65,Downtown/Civic Center,Entire home/apt,4,2,258,4.766641295546558,1,3
within an hour,98,65,Nob Hill,Entire home/apt,4,2,258,4.766641295546558,1,3
within an hour,98,65,Nob Hill,Entire home/apt,4,2,258,4.766641295546558,1,3
within an hour,98,65,Downtown/Civic Center,Entire home/apt,4,2,258,4.766641295546558,1,3
within an hour,98,65,Downtown/Civic Center,Entire home/apt,4,2,258,5,1,3
within an hour,98,65,Downtown/Civic Center,Entire home/apt,4,2,258,4.766641295546558,1,3
