host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within a day,100,100,Western Addition,Entire home/apt,3,2,299,4.97,1,365
within an hour,100,100,Richmond,Entire home/apt,6,3,176,4.75,1,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,4,2,194,4.85,1,365
within an hour,96.43234029939234,87.44211994421188,Western Addition,Entire home/apt,4,2,950,4.83,2,12
within an hour,96.43234029939234,87.44211994421188,Western Addition,Entire home/apt,2,1,98,4.9,1,365
within an hour,96.43234029939234,87.44211994421188,Western Addition,Entire home/apt,6,4,425,4.89,2,365
within an hour,100,100,Western Addition,Entire home/apt,5,3,350,5,2,364
within an hour,100,100,Western Addition,Private room,1,1,100,4.91,1,24
within an hour,100,100,Castro/Upper Market,Private room,3,1,76,4.93,1,152
within an hour,96.43234029939234,100,Castro/Upper Market,Entire home/apt,3,4,700,5,2,1
within a day,100,100,Haight Ashbury,Entire home/apt,8,5,215,4.6,2,55
within an hour,100,98,Western Addition,Private room,2,1,92,4.88,1,54
within an hour,100,100,Richmond,Entire home/apt,2,1,150,4.72,1,297
within a day,100,88,Excelsior,Private room,1,1,55,4.73,1,96
a few days or more,0,0,Sunset,Private room,1,1,47,4.8,1,58
within an hour,100,100,Pacific Heights,Entire home/apt,2,1,150,4.92,1,54
within an hour,100,100,Western Addition,Entire home/apt,2,1,185,4.94,1,36
within a day,100,87.44211994421188,Marina,Entire home/apt,2,1,389,5,1,365
